zindex,name,latitude,url,longitude,id
193800,Canaryville,41.814352,http://www.zillow.com/local-info/IL-Chicago/Canaryville/r_403340/,-87.640985,403340
205700,Tri-Taylor,41.871218,http://www.zillow.com/local-info/IL-Chicago/Tri--Taylor/r_403321/,-87.682009,403321
,Calumet River,41.697148,http://www.zillow.com/local-info/IL-Chicago/Calumet-River/r_403388/,-87.544227,403388
262900,Arcadia Terrace,41.986693,http://www.zillow.com/local-info/IL-Chicago/Arcadia-Terrace/r_403255/,-87.694344,403255
167400,East Hyde Park,41.794052,http://www.zillow.com/local-info/IL-Chicago/East-Hyde-Park/r_403352/,-87.582102,403352
243900,Fulton River District,41.889185,http://www.zillow.com/local-info/IL-Chicago/Fulton-River-District/r_403313/,-87.645521,403313
220200,Irving Woods,41.952028,http://www.zillow.com/local-info/IL-Chicago/Irving-Woods/r_403281/,-87.82792,403281
258100,Union Ridge,41.979114,http://www.zillow.com/local-info/IL-Chicago/Union-Ridge/r_403278/,-87.797282,403278
108600,Washington Heights,41.707112,http://www.zillow.com/local-info/IL-Chicago/Washington-Heights/r_269610/,-87.650721,269610
277100,Big Oaks,41.971855,http://www.zillow.com/local-info/IL-Chicago/Big-Oaks/r_403279/,-87.797465,403279
432700,Edgebrook,41.995344,http://www.zillow.com/local-info/IL-Chicago/Edgebrook/r_51847/,-87.758768,51847
89200,South Deering,41.709162,http://www.zillow.com/local-info/IL-Chicago/South-Deering/r_140440/,-87.559857,140440
304500,Lincoln Square,41.969,http://www.zillow.com/local-info/IL-Chicago/Lincoln-Square/r_269591/,-87.688949,269591
216200,Kelvin Park,41.931487,http://www.zillow.com/local-info/IL-Chicago/Kelvin-Park/r_403315/,-87.744178,403315
,Jeffery Manor,41.71805,http://www.zillow.com/local-info/IL-Chicago/Jeffery-Manor/r_777777/,-87.5694,777777
128000,West Chatham,41.743965,http://www.zillow.com/local-info/IL-Chicago/West-Chatham/r_403357/,-87.631154,403357
367500,Lathrop Homes,41.928732,http://www.zillow.com/local-info/IL-Chicago/Lathrop-Homes/r_403296/,-87.675284,403296
,Douglas Park,41.860963,http://www.zillow.com/local-info/IL-Chicago/Douglas-Park/r_403560/,-87.694489,403560
,Homan Square,41.870195,http://www.zillow.com/local-info/IL-Chicago/Homan-Square/r_403327/,-87.712633,403327
127200,West Chesterfield,41.72906,http://www.zillow.com/local-info/IL-Chicago/West-Chesterfield/r_403361/,-87.619439,403361
,East Beverly,41.706618,http://www.zillow.com/local-info/IL-Chicago/East-Beverly/r_403375/,-87.662983,403375
211300,West Beverly,41.70635,http://www.zillow.com/local-info/IL-Chicago/West-Beverly/r_403374/,-87.688848,403374
266700,Oriole Park,41.977269,http://www.zillow.com/local-info/IL-Chicago/Oriole-Park/r_403168/,-87.815735,403168
410200,Bowmanville,41.983319,http://www.zillow.com/local-info/IL-Chicago/Bowmanville/r_403263/,-87.681974,403263
,Hanson Park,41.919747,http://www.zillow.com/local-info/IL-Chicago/Hanson-Park/r_403324/,-87.760868,403324
523200,Ranch Triangle,41.914481,http://www.zillow.com/local-info/IL-Chicago/Ranch-Triangle/r_403305/,-87.656148,403305
401300,Wrigleyville,41.947809,http://www.zillow.com/local-info/IL-Chicago/Wrigleyville/r_403294/,-87.65553,403294
208100,North Kenwood,41.813223,http://www.zillow.com/local-info/IL-Chicago/North-Kenwood/r_403351/,-87.595609,403351
158900,Vittum Park,41.802304,http://www.zillow.com/local-info/IL-Chicago/Vittum-Park/r_403333/,-87.747891,403333
423800,Wildwood,42.001548,http://www.zillow.com/local-info/IL-Chicago/Wildwood/r_403275/,-87.775377,403275
368900,Old Norwood Park,41.989642,http://www.zillow.com/local-info/IL-Chicago/Old-Norwood-Park/r_403277/,-87.794502,403277
245500,Oakland,41.824073,http://www.zillow.com/local-info/IL-Chicago/Oakland/r_274850/,-87.601449,274850
,Ida B. Wells - Darrow Homes,41.827547,http://www.zillow.com/local-info/IL-Chicago/Ida-B.-Wells----Darrow-Homes/r_403349/,-87.612129,403349
335300,Pulaski Park,41.993626,http://www.zillow.com/local-info/IL-Chicago/Pulaski-Park/r_403269/,-87.718964,403269
