community,year,BATTERY,NARCOTICS,MOTOR VEHICLE THEFT,BURGLARY,DECEPTIVE PRACTICE,ASSAULT,CRIMINAL TRESPASS,ROBBERY,CRIMINAL DAMAGE,THEFT,name,price_nx_yr,svr,tree
32,2013,630,214,79,89,1153,304,411,196,279,3983,loop,334.8027778,901.8794737847485,322.1722222
32,2014,645,150,69,81,1141,274,342,158,311,3736,loop,341.4194444,1091.0829540231928,322.1722222
32,2015,723,120,74,87,966,298,310,194,341,4049,loop,344.2027778,344.1674723790922,344.2027778
32,2016,788,88,96,132,1360,349,257,310,385,4784,loop,361.5861111,-157.36453356356725,322.1722222
32,2017,923,74,148,107,1544,456,247,387,409,5882,loop,351.5333333000001,-1385.924267489653,322.1722222
32,2018,1027,95,123,76,1686,475,291,317,467,5790,loop,338.8,277.5653353906666,266.8909091
33,2011,222,40,74,86,129,81,91,53,149,681,near south side,210.8681818,157.56283279452254,176.6
33,2012,239,51,69,89,116,111,98,65,157,730,near south side,240.8854167,134.11383020262218,176.6
33,2013,236,33,63,40,154,75,143,39,176,685,near south side,264.75625,254.38350340531468,204.85
33,2014,272,36,61,56,187,81,127,40,128,640,near south side,268.5395833,185.148545933923,124.03333329999998
33,2015,291,33,55,55,234,84,110,58,183,613,near south side,269.74375,217.88454670418577,124.03333329999998
33,2016,272,24,64,47,296,117,97,50,170,656,near south side,285.4208333,233.92378108491465,124.03333329999998
33,2017,300,18,90,61,306,94,85,93,155,558,near south side,286.5833333,182.32928838585502,124.03333329999998
33,2018,289,19,72,32,263,122,53,49,190,592,near south side,280.125,212.26630487531946,280.125
35,2011,571,215,141,93,88,213,97,133,231,666,douglas,60.05454545,93.96320704043244,100.1333333
35,2012,566,198,129,91,108,211,150,127,241,688,douglas,93.38333333,107.83189001146745,100.1333333
35,2013,558,237,113,74,142,205,148,119,216,746,douglas,88.975,109.36481184042275,100.1333333
35,2014,515,169,127,50,184,206,173,136,199,557,douglas,100.1333333,100.03267070036888,100.1333333
35,2015,505,118,105,55,205,181,109,89,255,639,douglas,124.03333329999998,152.60836249474158,124.03333329999998
35,2016,476,82,96,48,191,204,103,178,268,702,douglas,154.775,111.53309553283832,124.03333329999998
35,2017,541,53,91,73,209,205,123,157,220,716,douglas,159.44166669999996,88.08499320014305,197.925
35,2018,578,45,100,53,185,239,101,113,251,727,douglas,127.46666670000002,112.3335402814402,124.03333329999998
36,2011,195,45,35,44,14,63,29,24,88,150,oakland,105.2727273,103.86543526962048,42.20833333
36,2012,161,30,24,39,19,51,32,27,106,162,oakland,94.60833333,105.98259726251733,40.1
36,2013,138,49,25,24,31,56,74,22,76,120,oakland,105.125,104.25443092811672,24.80833333
36,2014,141,20,36,26,34,60,41,24,86,113,oakland,145.16666669999995,102.67296974762137,171.83333330000005
36,2015,112,20,38,18,43,54,18,27,81,140,oakland,133.00833329999998,107.2061967270344,171.83333330000005
36,2016,120,7,39,30,37,56,16,23,90,190,oakland,145.45,108.24943945521652,177.1333333
